361,Ebola virus,Yambuku Mission,Zaire,1976,,
362,Zika virus,Indonesia,1977,,,
363,Sandfly fever Naples virus,Gaza,Israel and West Bank,1942,,
364,Actinomucor elegans,Argentina,2001,,,
365,Tropheryma whippelii,France,1967,,,
366,Anajatuba virus,Maranhao,Brazil,2000,,
367,Araraquara virus,Araquara,Sao Paulo,Brazil,1996,
368,Plasmodium falciparum artemisinin-res,Cambodia,2007,,,
369,Babesia venatorum,Romagna,Italy,1998,,
370,Baboon cytomegalovirus,Pittsburg,Pennsylvania,1992,,
371,Bartonella alsatica,Alsace,France,2005,,
372,Bartonella koehlerae,Israel,2001,,,
373,Bartonella melophagi,Ohio,USA,2004,,
374,Bartonella rochalimae,Peru,2003,,,
375,Bartonella tamiae,Khon Kaen Province,Thailand,2007,,
376,Brucella inopinata,Oregon,2005,,,
377,Campylobacter jejuni Clone SA,Vermont,USA,2003,,
378,Castelo dos Sonhos virus,Castelo dos Sonhos,Matto Grosso,Brazil,1995,
379,Chapare virus,Cochabamba,Bolivia,2003,,
380,Clostridium difficile BI/NAP1,Pennsylvania,2001,,,
381,Crimean-Congo Hemorrhagic Fever AP92,West Istanbul,Turkey,2007,,
382,Dandenong virus,Australia,2007,,,
383,Ebola bundibugyo,Uganda,2007,,,
384,Granulibacter bethesdensis,Bethesda,Maryland,2003,,
385,Halomonas phocaeensis,Tunis,Tunisia,1999,,
386,Halomonas stevensii,San Jose,California,2007,,
387,Halomonas venusta,Maldives,2000,,,
388,human T-cell lymphotropic virus 3,Southern Cameroon,2005,,,
389,human T-cell lymphotropic virus 4,Southern Cameroon,2005,,,
390,Iquitos virus,Iquitos,Peru,1999,,
391,Kampar virus,Kampar,Malaysia,2006,,
392,Legionella waltersii,Wurzburg,Germany,2005,,
393,Lujo Virus,Lusaka,Zambia,2008,,
394,Marine mammal Brucella spp,Peru,1985,,,
395,Melaka virus,Melaka state,Malaysia,2006,,
396,Mycobacterium jacuzzii,Israel,2003,,,
397,Mycobacterium lepromatosis,Arizona,USA,2002,,
398,Neoehrlicia mikurensis,Middle Franconia,Germany,2007,,
399,Ngari virus,Kassala,Sudan,1988,,
400,Rickettsia aeschlimanii,Morocco,2000,,,
401,Rickettsia parkeri,Tidewater,Virginia,2002,,
402,Severe Fever with Thrombocytopenia Syndrome bunyavirus,Dingyuan County,Chuzhou,Anhui,China,2006
403,Titi monkey adenovirus,Davis,California,2009,,
404,Trichophyton bullosum,France,2012,,,
405,Norovirus GII.4 Sydney 2012,Australia,2012,,,
406,MERS-CoV,Jordan,2012,,,
407,West Nile Virus,South Korea,2012,,,
408,Chikungunya,Papua New Guinea,2012,,,
409,Chikungunya,Bhutan,2012,,,
410,Rotavirus G12,France,2012,,,
411,SFTSV,South Korea,2012,,,
412,Borrelia miyamotoi,United States,1990,,,
413,Usutu virus,Germany,2012,,,
414,West Nile Virus,Tunisia,2012,,,
415,MERS-CoV,Saudi Arabia,2012,,,
416,A-H1N1v,Canada,2012,,,
417,Norovirus G II.4 Sydney,United States,2012,,,
418,Norovirus G II.4 Sydney,Belgium,2012,,,
419,West Nile Virus,Croatia,2012,,,
420,West Nile Virus,Kosovo,2012,,,
421,Dengue,Portugal,2012,,,
422,MERS-CoV,Qatar,2012,,,
423,Norovirus GII.4 Sydney,Scotland,2012,,,
424,Norovirus GII.4 Sydney,Denmark,2012,,,
